time,mv
00:00.000000,-0.01
00:00.003910,-0.011
00:00.007820,-0.011
00:00.011730,-0.01
00:00.015640,-0.01
00:00.019550,-0.009000000000000001
00:00.023460,-0.009000000000000001
00:00.027370,-0.01
00:00.031280,-0.011
00:00.035190,-0.011
00:00.039100,-0.011
00:00.043010,-0.011
00:00.046920,-0.009000000000000001
00:00.050830,-0.009000000000000001
00:00.054740,-0.01
00:00.058650,-0.01
00:00.062560,-0.011
00:00.066470,-0.01
00:00.070380,-0.009000000000000001
00:00.074290,-0.01
00:00.078200,-0.01
00:00.082110,-0.01
00:00.086020,-0.009000000000000001
00:00.089930,-0.008
00:00.093840,-0.009000000000000001
00:00.097750,-0.009000000000000001
00:00.101660,-0.007
00:00.105570,-0.006
00:00.109480,-0.005
00:00.113390,-0.004
00:00.117300,-0.003
00:00.121210,-0.002
00:00.125120,0.0
00:00.129030,0.001
00:00.132940,0.001
00:00.136850,0.001
00:00.140760,0.001
00:00.144670,0.003
00:00.148580,0.005
00:00.152490,0.006
00:00.156400,0.008
00:00.160310,0.008
00:00.164220,0.008
00:00.168130,0.007
00:00.172040,0.004
00:00.175950,0.001
00:00.179860,-0.001
00:00.183770,-0.003
00:00.187680,-0.005
00:00.191590,-0.006
00:00.195500,-0.006
00:00.199410,-0.008
00:00.203320,-0.01
00:00.207230,-0.011
00:00.211140,-0.011
00:00.215050,-0.011
00:00.218960,-0.01
00:00.222870,-0.011
00:00.226780,-0.011
00:00.230690,-0.012
00:00.234600,-0.012
00:00.238510,-0.012
00:00.242420,-0.012
00:00.246330,-0.012
00:00.250240,-0.013000000000000001
00:00.254150,-0.012
00:00.258060,-0.012
00:00.261970,-0.011
00:00.265880,-0.011
00:00.269790,-0.011
00:00.273700,-0.009000000000000001
00:00.277610,-0.006
00:00.281520,0.0
00:00.285430,0.012
00:00.289340,0.031
00:00.293250,0.061
00:00.297160,0.10300000000000001
00:00.301070,0.14100000000000001
00:00.304980,0.158
00:00.308890,0.147
00:00.312800,0.106
00:00.316710,0.045
00:00.320620,-0.02
00:00.324530,-0.062
00:00.328440,-0.07
00:00.332350,-0.065
00:00.336260,-0.056
00:00.340170,-0.044
00:00.344080,-0.033
00:00.347990,-0.028
00:00.351900,-0.024
00:00.355810,-0.02
00:00.359720,-0.016
00:00.363630,-0.013000000000000001
00:00.367540,-0.01
00:00.371450,-0.009000000000000001
00:00.375360,-0.008
00:00.379270,-0.007
00:00.383180,-0.006
00:00.387090,-0.005
00:00.391000,-0.005
00:00.394910,-0.005
00:00.398820,-0.004
00:00.402730,-0.004
00:00.406640,-0.003
00:00.410550,-0.003
00:00.414460,-0.002
00:00.418370,-0.001
00:00.422280,0.0
00:00.426190,0.001
00:00.430100,0.002
00:00.434010,0.002
00:00.437920,0.003
00:00.441830,0.005
00:00.445740,0.007
00:00.449650,0.007
00:00.453560,0.009000000000000001
00:00.457470,0.01
00:00.461380,0.01
00:00.465290,0.01
00:00.469200,0.012
00:00.473110,0.015
